City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Saskylakh,71.9167,114.0833,-17.55,94,79,3.71,RU,2021-04-03 03:15:25
68,Diu,20.7141,70.9822,80.31,57,29,4.88,IN,2021-04-03 03:21:46
69,Manama,26.2154,50.5832,80.6,29,0,3.44,BH,2021-04-03 03:21:46
70,Hermanus,-34.4187,19.2345,60.01,76,96,1.99,ZA,2021-04-03 03:15:16
71,Ancud,-41.8697,-73.8203,52.0,90,30,5.01,CL,2021-04-03 03:15:18
72,Chanika,-5.4167,38.0167,66.27,98,99,2.55,TZ,2021-04-03 03:21:47
73,Seoul,37.5683,126.9778,59.0,94,90,8.05,KR,2021-04-03 03:21:47
74,Korla,41.7597,86.1469,51.3,26,100,20.11,CN,2021-04-03 03:16:56
75,Bourges,47.25,2.4167,41.0,75,0,14.97,FR,2021-04-03 03:21:47
76,Tuktoyaktuk,69.4541,-133.0374,-11.2,70,75,4.61,CA,2021-04-03 03:16:23
77,Birao,10.2849,22.7882,79.79,14,98,9.53,CF,2021-04-03 03:21:48
78,Vao,-22.6667,167.4833,74.48,90,100,27.16,NC,2021-04-03 03:16:28
79,Saint George,37.1041,-113.5841,75.99,15,1,6.91,US,2021-04-03 03:15:12
80,Sao Filipe,14.8961,-24.4956,72.73,71,86,10.07,CV,2021-04-03 03:16:00
81,Lebu,-37.6167,-73.65,53.78,92,18,15.43,CL,2021-04-03 03:16:15
82,Thaba Nchu,-29.2093,26.839,50.0,87,1,6.91,ZA,2021-04-03 03:21:48
83,Ponta Do Sol,32.6667,-17.1,57.99,62,10,1.99,PT,2021-04-03 03:15:18
84,Narsaq,60.9167,-46.05,35.6,87,90,2.3,GL,2021-04-03 03:17:12
85,Khatanga,71.9667,102.5,-8.7,83,10,6.67,RU,2021-04-03 03:15:47
86,Iranshahr,27.2025,60.6848,75.2,14,0,6.91,IR,2021-04-03 03:21:48
87,Iqaluit,63.7506,-68.5145,-11.2,77,1,2.3,CA,2021-04-03 03:20:33
88,Kautokeino,69.0125,23.0412,11.8,92,100,3.13,NO,2021-04-03 03:21:49
89,Avarua,-21.2078,-159.775,82.4,74,20,9.22,CK,2021-04-03 03:15:15
90,Fairbanks,64.8378,-147.7164,17.01,62,90,6.91,US,2021-04-03 03:19:06
91,Moussoro,13.6408,16.4901,72.82,13,30,15.7,TD,2021-04-03 03:21:49
92,New Norfolk,-42.7826,147.0587,87.01,14,0,11.01,AU,2021-04-03 03:15:10
93,Kingsville,27.5159,-97.8561,62.6,63,1,5.75,US,2021-04-03 03:21:49
94,Sabang,5.8933,95.3214,83.35,72,63,13.67,ID,2021-04-03 03:20:17
95,Suntar,62.1444,117.6319,5.49,73,16,3.31,RU,2021-04-03 03:21:50
96,Hereford,52.0568,-2.7148,37.99,83,2,6.46,GB,2021-04-03 03:21:50
97,Yershov,51.3513,48.2766,35.06,99,98,6.22,RU,2021-04-03 03:21:50
98,Barrow,71.2906,-156.7887,-13.0,70,1,4.61,US,2021-04-03 03:15:01
99,Kaitangata,-46.2817,169.8464,57.0,58,100,8.01,NZ,2021-04-03 03:15:13
100,Cabo Rojo,18.0866,-67.1457,75.99,81,70,1.99,PR,2021-04-03 03:21:51
101,Chiang Khong,20.2613,100.4046,82.0,99,83,1.21,TH,2021-04-03 03:21:51
102,Tasiilaq,65.6145,-37.6368,30.2,80,90,11.5,GL,2021-04-03 03:16:24
103,Kralendijk,12.15,-68.2667,78.8,83,75,16.11,BQ,2021-04-03 03:20:18
104,Asfi,32.2994,-9.2372,56.5,91,11,11.97,MA,2021-04-03 03:17:09
105,Hami,42.8,93.45,54.75,12,2,6.49,CN,2021-04-03 03:16:32
106,La Paz,-16.5,-68.15,42.8,93,75,5.75,BO,2021-04-03 03:18:38
107,Butaritari,3.0707,172.7902,82.36,79,22,14.67,KI,2021-04-03 03:15:09
108,Mount Gambier,-37.8333,140.7667,93.2,13,0,14.97,AU,2021-04-03 03:16:38
109,Lompoc,34.6391,-120.4579,51.8,82,1,6.91,US,2021-04-03 03:15:14
110,Port Blair,11.6667,92.75,83.17,56,91,3.4,IN,2021-04-03 03:21:52
111,Sumbe,-11.2061,13.8437,78.75,90,96,3.58,AO,2021-04-03 03:19:25
112,Basoko,1.2391,23.616,71.58,96,100,2.93,CD,2021-04-03 03:21:52
113,Severo-Kurilsk,50.6789,156.125,32.11,77,65,7.87,RU,2021-04-03 03:16:00
