City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
641,Hokitika,NZ,61.48,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
642,Meadow Lake,US,62.6,clear sky,34.8014,-106.5436,JKL Inc. R.V Park and Storage
645,Benjamin Constant,BR,77.0,broken clouds,-4.3831,-70.0311,CASA AVALIADA
648,Bandarbeyla,SO,81.03,clear sky,9.4942,50.8122,JABIR HOTEL
649,Qingdao,CN,64.4,clear sky,36.0986,120.3719,东晖国际大酒店餐厅
650,Atambua,ID,81.99,few clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
653,Sao Miguel Do Araguaia,BR,68.68,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
654,Linguere,SN,73.65,clear sky,15.3953,-15.1193,Hôtel Amadou Seck
655,Ngunguru,NZ,69.01,light rain,-35.6167,174.5,Pacific Rendezvous Motel Resort
656,Tarakan,ID,84.2,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
660,Mogadishu,SO,84.2,light rain,2.0371,45.3438,Olympic Hotel
661,Maiduguri,NG,79.56,scattered clouds,11.8464,13.1603,Beach Guest Home
662,Vila Velha,BR,70.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
667,Oyama,JP,61.0,few clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
674,Rosita,NI,71.24,overcast clouds,13.9268,-84.4032,Hospedaje Zeledón
675,Durban,ZA,73.0,overcast clouds,-29.8579,31.0292,Hilton Durban
676,Ilhabela,BR,72.09,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
677,Sayyan,YE,64.44,clear sky,15.1718,44.3244,متنزه و بحيرة سيان
679,Pundaguitan,PH,82.27,few clouds,6.3711,126.1689,Leonardo Family Beach House 1
682,Cartagena,CO,78.8,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
684,Roma,US,53.6,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
686,Coolum Beach,AU,88.0,clear sky,-26.5333,153.1,Palmer Coolum Resort
688,Boulsa,BF,81.41,few clouds,12.6675,-0.5758,AUBERGE Kiswendsida
690,Mizan Teferi,ET,71.76,overcast clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
694,Back Mountain,US,55.0,overcast clouds,41.3359,-75.9963,Country Club Apartments
